canonical_id,canonical_name,normalized_name,pff_player_id,cfbd_id,combine_normalized_player,combine_cfb_player_id,combine_pfr_player_id,combine_gsis_id,colleges,college_seasons,college_seasons_count,draft_season,in_pff,in_combine,in_cfbd
riley-neal-ball-state-2015,Riley Neal,riley neal,35543.0,3915468,,,,,Ball State,Ball State:2015,1,2016,True,False,True
brandon-wimbush-notre-dame-2015,Brandon Wimbush,brandon wimbush,35595.0,3932451,,,,,Notre Dame,Notre Dame:2015,1,2016,True,False,True
dwayne-lawson-virginia-tech-2015,Dwayne Lawson,dwayne lawson,35633.0,3929940,,,,,Virginia Tech,Virginia Tech:2015,1,2016,True,False,True
deon-sanders-furman-2015,Deon Sanders,deon sanders,35785.0,,,,,,Furman,Furman:2015,1,2016,True,False,False
tyler-wiegers-iowa-2015,Tyler Wiegers,tyler wiegers,35825.0,3144983,,,,,Iowa,Iowa:2015,1,2016,True,False,True
brooks-barden-charlotte-2015,Brooks Barden,brooks barden,37238.0,3120055,,,,,Charlotte,Charlotte:2015,1,2016,True,False,True
jake-kolbe-illinois-state-2015,Jake Kolbe,jacob kolbe,37318.0,3118441,,,,,Illinois State,Illinois State:2015,1,2016,True,False,True
quantavius-peterson-mississippi-valley-state-2015,Quantavius Peterson,quantavius peterson,37517.0,3139627,,,,,Mississippi Valley State,Mississippi Valley State:2015,1,2016,True,False,True
anthony-lawrence-san-diego-2015,Anthony Lawrence,anthony lawrence,37614.0,3914253,,,,,San Diego,San Diego:2015,1,2016,True,False,True
lamar-raynard-north-carolina-a-t-2015,Lamar Raynard,lamar raynard,37718.0,3139898,,,,,North Carolina A&T,North Carolina A&T:2015,1,2016,True,False,True
jeremy-higgins-hawaii-2014,Jeremy Higgins,jeremy higgins,37751.0,505049,,,,,Hawaii,Hawaii:2014,1,2015,True,False,True
jesse-scroggins-arizona-2014,Jesse Scroggins,jesse scroggins,37755.0,,,,,,Arizona,Arizona:2014,1,2015,True,False,False
quinn-kaehler-san-diego-state-2014,Quinn Kaehler,quinn kaehler,37765.0,547570,,,,,San Diego State,San Diego State:2014,1,2015,True,False,True
garrett-krstich-smu-2015,Garrett Krstich,garrett krstich,37876.0,519812,,,,,SMU,SMU:2014;SMU:2015,2,2016,True,False,True
alvonta-jenkins-miami-oh-2015,Alvonta Jenkins,alvonta jenkins,37885.0,,,,,,Miami (OH),Miami (OH):2015,1,2016,True,False,False
brad-kragthorpe-lsu-2014,Brad Kragthorpe,brad kragthorpe,37904.0,520118,,,,,LSU,LSU:2014,1,2015,True,False,True
patton-robinette-vanderbilt-2014,Patton Robinette,patton robinette,37962.0,532000,,,,,Vanderbilt,Vanderbilt:2014,1,2015,True,False,True
martez-walker-central-michigan-2015,Martez Walker,martez walker,37976.0,,,,,,Central Michigan,Central Michigan:2015,1,2016,True,False,False
mark-iannotti-southern-illinois-2015,Mark Iannotti,mark iannotti,37982.0,512983,,,,,Southern Illinois,Southern Illinois:2014;Southern Illinois:2015,2,2016,True,False,True
craig-leonard-colorado-state-2015,Craig Leonard,craig leonard,38028.0,532684,,,,,Colorado State,Colorado State:2015,1,2016,True,False,True
billy-green-weber-state-2014,Billy Green,william green,38032.0,545788,,,,,Weber State,Weber State:2014,1,2015,True,False,True
